sr_no,name,price,24hr_volume,market_cap
1,Bitcoin,"$43,705.09","$36,417,917,516","$826,939,113,398"
2,Ethereum,"$3,347.05","$15,253,919,462","$398,709,151,120"
3,Binance Coin,$482.26,"$1,954,147,598","$81,113,620,662"
4,Tether,$1.00,"$51,667,505,377","$78,458,925,726"
5,Solana,$150.11,"$2,028,977,750","$46,828,283,925"
6,USD Coin,$1.00,"$3,025,010,753","$44,746,944,558"
7,Cardano,$1.33,"$1,443,639,902","$42,658,851,211"
8,XRP,$0.793720,"$2,461,730,119","$37,824,297,888"
9,Polkadot,$27.00,"$1,180,650,019","$28,974,451,771"
10,Terra,$80.66,"$2,520,561,826","$28,791,745,404"
11,Avalanche,$94.26,"$884,788,916","$23,032,555,754"
12,Dogecoin,$0.164116,"$987,951,194","$21,785,685,390"
13,Shiba Inu,$0.000031960616,"$1,409,893,810","$17,551,153,010"
14,Polygon,$2.36,"$1,476,519,883","$16,209,404,115"
15,Binance USD,$1.00,"$4,022,293,889","$14,181,995,197"
16,Chainlink,$26.41,"$1,741,836,982","$12,334,866,253"
17,Crypto.com Coin,$0.480259,"$189,915,209","$12,135,091,477"
18,Wrapped Bitcoin,"$43,696.31","$326,252,567","$11,656,372,452"
19,Cosmos,$39.71,"$1,649,681,313","$11,343,306,503"
21,Near,$17.35,"$854,490,549","$10,561,054,292"
20,TerraUSD,$0.999870,"$263,453,682","$10,559,774,270"
22,Litecoin,$140.17,"$786,506,471","$9,728,470,248"
23,Algorand,$1.45,"$321,555,280","$9,393,666,054"
24,Dai,$1.00,"$335,171,405","$9,103,720,909"
25,Uniswap,$16.02,"$183,951,169","$7,248,519,042"
26,Bitcoin Cash,$381.96,"$1,532,956,045","$7,238,901,858"
27,Fantom,$2.83,"$1,834,189,999","$7,184,524,815"
28,Stellar,$0.286291,"$529,382,510","$7,089,686,135"
29,TRON,$0.067807347408,"$699,294,523","$6,905,280,287"
30,OKB,$26.02,"$236,497,046","$6,838,897,270"
